IP,Port,Vulnerabilities
122.56.79.129,179,
122.56.75.133,179,
122.56.63.115,8010,
122.56.76.51,179,
210.55.73.239,179,
122.56.78.169,179,
219.88.224.87,179,
122.56.78.83,1194,
210.55.73.147,179,
210.55.228.219,179,
122.56.168.237,179,
122.56.74.83,179,
210.55.77.3,80,
210.55.228.15,179,
122.56.76.169,179,
122.56.168.169,179,
210.55.76.151,179,
122.56.63.196,8010,
122.56.76.239,179,
122.56.77.69,179,
210.55.72.241,179,
122.56.79.227,80,
210.55.228.215,80,
210.55.73.225,179,
122.56.74.223,443,"CVE-2022-26377, CVE-2020-11985, CVE-2022-31628, CVE-2022-31629, CVE-2006-20001, CVE-2017-7679, CVE-2022-28614, CVE-2020-1934, CVE-2018-17189, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2018-15132, CVE-2018-19396, CVE-2018-1333, CVE-2022-22720, CVE-2018-11763, CVE-2022-28330, CVE-2020-11993, CVE-2018-19520, CVE-2019-10081, CVE-2018-19395, CVE-2018-19935, CVE-2019-9023, CVE-2019-0217, CVE-2019-0196, CVE-2019-9020, CVE-2022-22721, CVE-2019-0211, CVE-2019-10092, CVE-2019-9639, CVE-2019-9021, CVE-2019-17567, CVE-2017-15715, CVE-2022-31813, CVE-2019-10098, CVE-2022-37436, CVE-2019-9637, CVE-2016-5387, CVE-2021-40438, CVE-2022-30556, CVE-2018-20783, CVE-2021-34798, CVE-2019-9024, CVE-2022-23943, CVE-2020-1927, CVE-2018-17199, CVE-2018-14883, CVE-2017-9788, CVE-2017-7272, CVE-2017-15710, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2017-3167, CVE-2017-9798, CVE-2023-25690, CVE-2017-3169, CVE-2020-9490, CVE-2015-9253, CVE-2016-2161, CVE-2021-33193, CVE-2021-44790, CVE-2018-14851, CVE-2019-9641, CVE-2021-26690, CVE-2021-26691, CVE-2018-17082, CVE-2019-0220, CVE-2017-7963, CVE-2018-19518, CVE-2016-4975, CVE-2020-13938, CVE-2019-9517, CVE-2018-1283, CVE-2019-10082, CVE-2016-8740, CVE-2016-8743, CVE-2021-44224, CVE-2019-9638, CVE-2021-39275, CVE-2022-28615, CVE-2020-35452, CVE-2022-36760, CVE-2022-22719"
210.55.227.183,179,
122.56.170.169,179,
122.56.74.153,179,
210.55.79.171,179,
210.55.228.143,179,
122.56.74.239,179,
122.56.78.99,179,
122.56.170.223,179,
210.55.79.59,80,
210.55.72.57,179,
122.56.74.227,179,
122.56.168.253,1194,
122.56.168.209,179,
122.56.171.35,179,
210.55.77.159,443,
219.88.225.9,443,
122.56.74.125,554,
122.56.171.205,179,
122.56.170.27,80,
122.56.78.137,443,
122.56.77.213,80,
210.55.227.233,179,
122.56.79.229,179,
122.56.170.231,179,
210.55.73.127,179,
122.56.77.21,179,
210.55.77.169,179,
122.56.75.187,3391,
210.55.73.185,80,"CVE-2023-25690, CVE-2022-37436, CVE-2023-27522, CVE-2022-36760, CVE-2006-20001"
210.55.72.117,179,
210.55.78.73,179,
210.55.77.131,179,
122.56.170.71,179,
210.55.72.195,179,
210.55.72.105,179,
210.55.73.201,5060,
122.56.170.137,179,
122.56.79.27,179,
210.55.73.65,443,
122.56.78.221,179,
210.55.227.251,179,
210.55.228.169,179,
122.56.74.69,179,
122.56.75.55,179,
210.55.72.115,80,"CVE-2022-26377, CVE-2006-20001, CVE-2020-1934, CVE-2018-17189, CVE-2021-34798, CVE-2022-29404, CVE-2021-33193, CVE-2023-27522, CVE-2018-1333, CVE-2022-22720, CVE-2018-11763, CVE-2022-28330, CVE-2020-11993, CVE-2020-13938, CVE-2019-0217, CVE-2019-0196, CVE-2022-22721, CVE-2019-0211, CVE-2019-10092, CVE-2019-17567, CVE-2019-10097, CVE-2022-31813, CVE-2019-10098, CVE-2022-37436, CVE-2021-40438, CVE-2022-30556, CVE-2021-36160, CVE-2022-23943, CVE-2020-1927, CVE-2018-17199, CVE-2022-36760, CVE-2023-25690, CVE-2018-8011, CVE-2020-9490, CVE-2020-11984, CVE-2021-44790, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2022-28614, CVE-2019-10081, CVE-2019-9517, CVE-2019-10082, CVE-2021-44224, CVE-2021-39275, CVE-2022-28615, CVE-2020-35452, CVE-2022-22719"
210.55.78.15,179,
122.56.169.137,179,
122.56.169.57,179,
122.56.168.47,179,
122.56.63.208,8008,
210.55.227.133,443,
219.88.226.59,179,
219.88.224.5,179,
122.56.75.155,179,
210.55.76.195,179,
210.55.79.93,179,
210.55.77.135,179,
122.56.85.46,179,
122.56.79.227,179,
122.56.76.253,179,
122.56.63.192,8010,
210.55.228.89,179,
210.55.78.153,179,
219.88.224.229,179,
210.55.77.167,179,
122.56.63.203,8010,
122.56.79.159,179,
210.55.77.165,179,
122.56.74.169,179,
219.88.226.125,4000,
210.55.73.65,179,
219.88.225.229,179,
210.55.72.63,179,
122.56.75.153,179,
122.56.171.225,179,
122.56.79.187,80,"CVE-2022-26377, CVE-2020-11985, CVE-2022-31628, CVE-2022-31629, CVE-2006-20001, CVE-2017-7679, CVE-2022-28614, CVE-2020-1934, CVE-2018-17189, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2018-15132, CVE-2018-19396, CVE-2018-1333, CVE-2022-22720, CVE-2018-11763, CVE-2022-28330, CVE-2020-11993, CVE-2018-19520, CVE-2019-10081, CVE-2018-19395, CVE-2018-19935, CVE-2019-9023, CVE-2019-0217, CVE-2019-0196, CVE-2019-9020, CVE-2022-22721, CVE-2019-0211, CVE-2019-10092, CVE-2019-9639, CVE-2019-9021, CVE-2019-17567, CVE-2017-15715, CVE-2022-31813, CVE-2019-10098, CVE-2022-37436, CVE-2019-9637, CVE-2016-5387, CVE-2021-40438, CVE-2022-30556, CVE-2018-20783, CVE-2021-34798, CVE-2019-9024, CVE-2022-23943, CVE-2020-1927, CVE-2018-17199, CVE-2018-14883, CVE-2017-9788, CVE-2017-7272, CVE-2017-15710, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2017-3167, CVE-2017-9798, CVE-2023-25690, CVE-2017-3169, CVE-2020-9490, CVE-2015-9253, CVE-2016-2161, CVE-2021-33193, CVE-2021-44790, CVE-2018-14851, CVE-2019-9641, CVE-2021-26690, CVE-2021-26691, CVE-2018-17082, CVE-2019-0220, CVE-2017-7963, CVE-2018-19518, CVE-2016-4975, CVE-2020-13938, CVE-2019-9517, CVE-2018-1283, CVE-2019-10082, CVE-2016-8740, CVE-2016-8743, CVE-2021-44224, CVE-2019-9638, CVE-2021-39275, CVE-2022-28615, CVE-2020-35452, CVE-2022-36760, CVE-2022-22719"
122.56.77.171,179,
210.55.76.85,179,
122.56.78.27,179,
210.55.72.205,443,
